Stock_Name,Ticker,Best Model,Folds,Best MAPE (mean),Best MAPE (std),Best MAPE (mean ± std)
3BBIF,3BBIF.BK,CNN,7,1.7234,0.3963,1.72 ± 0.4
CIG,CIG.BK,Random Forest,7,15.6915,7.0433,15.69 ± 7.04
DV8,DV8.BK,XGBoost,7,20.1649,18.9938,20.16 ± 18.99
F&D,F&D.BK,ARIMA,4,2.6423,4.5143,2.64 ± 4.51
KYE,KYE.BK,ARIMA,7,1.2638,1.1944,1.26 ± 1.19
MCS,MCS.BK,ARIMA,7,2.4565,1.5738,2.46 ± 1.57
NATION,NATION.BK,Random Forest,7,18.5663,3.5475,18.57 ± 3.55
PT,PT.BK,ARIMA,7,1.9587,0.8117,1.96 ± 0.81
S11,S11.BK,ARIMA,7,4.2381,2.231,4.24 ± 2.23
SET,^SET.BK,Random Forest,7,1.6036,1.1168,1.6 ± 1.12
TFG,TFG.BK,ARIMA,7,3.4599,1.2694,3.46 ± 1.27
TLHPF,TLHPF.BK,ARIMA,6,9.0361,9.6209,9.04 ± 9.62
